term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2009-10-31,915925,2012-11-30,634,37
36 months,A,2009-11-30,1020700,,,
36 months,A,2009-11-30,1020700,2010-11-30,3634,12
36 months,A,2009-11-30,1020700,2011-01-31,1201,14
36 months,A,2009-11-30,1020700,2011-03-31,2345,16
36 months,A,2009-11-30,1020700,2011-08-31,6459,21
36 months,A,2009-11-30,1020700,2011-11-30,2522,24
36 months,A,2009-11-30,1020700,2012-01-31,4007,26
36 months,A,2009-11-30,1020700,2012-07-31,2716,32
36 months,A,2009-11-30,1020700,2012-08-31,1669,33
36 months,A,2009-11-30,1020700,2013-01-31,480,38
36 months,A,2009-12-31,1057175,,,
36 months,A,2009-12-31,1057175,2010-12-31,10329,12
36 months,A,2009-12-31,1057175,2011-03-31,4497,15
36 months,A,2009-12-31,1057175,2011-04-30,8483,16
36 months,A,2009-12-31,1057175,2011-09-30,6144,21
36 months,A,2009-12-31,1057175,2013-03-31,329,39
36 months,A,2010-01-31,1094050,,,
36 months,A,2010-01-31,1094050,2011-01-31,16149,12
36 months,A,2010-01-31,1094050,2011-07-31,14637,18
36 months,A,2010-01-31,1094050,2011-08-31,3620,19
36 months,A,2010-01-31,1094050,2012-03-31,2128,26
36 months,A,2010-01-31,1094050,2013-02-28,2498,37
36 months,A,2010-02-28,1032850,,,
36 months,A,2010-02-28,1032850,2011-11-30,2927,21
36 months,A,2010-02-28,1032850,2012-08-31,3986,30
36 months,A,2010-02-28,1032850,2012-12-31,698,34
36 months,A,2010-03-31,1251950,,,
36 months,A,2010-03-31,1251950,2010-12-31,6302,9
36 months,A,2010-03-31,1251950,2011-07-31,2990,16
36 months,A,2010-03-31,1251950,2011-12-31,1829,21
36 months,A,2010-03-31,1251950,2013-06-30,143,39
36 months,A,2010-04-30,1241600,,,
36 months,A,2010-04-30,1241600,2012-11-30,3161,31
36 months,A,2010-04-30,1241600,2013-02-28,2146,34
36 months,A,2010-04-30,1241600,2013-04-30,1283,36
36 months,A,2010-05-31,1300125,,,
36 months,A,2010-05-31,1300125,2011-01-31,7599,8
36 months,A,2010-05-31,1300125,2011-04-30,2544,11
36 months,A,2010-05-31,1300125,2011-08-31,3088,15
36 months,A,2010-05-31,1300125,2011-10-31,860,17
36 months,A,2010-05-31,1300125,2012-01-31,3037,20
36 months,A,2010-05-31,1300125,2012-05-31,848,24
36 months,A,2010-05-31,1300125,2012-07-31,5803,26
36 months,A,2010-05-31,1300125,2012-10-31,1888,29
36 months,A,2010-06-30,1694450,,,
36 months,A,2010-06-30,1694450,2011-05-31,10109,11
36 months,A,2010-06-30,1694450,2011-11-30,1861,17
36 months,A,2010-06-30,1694450,2011-12-31,11066,18
36 months,A,2010-06-30,1694450,2012-03-31,13501,21
36 months,A,2010-06-30,1694450,2012-08-31,4010,26
36 months,A,2010-06-30,1694450,2013-02-28,754,32
36 months,A,2010-06-30,1694450,2013-03-31,2487,33
36 months,A,2010-06-30,1694450,2013-10-31,831,40
36 months,A,2010-06-30,1694450,2013-11-30,52,41
36 months,A,2010-06-30,1694450,2013-12-31,215,42
36 months,A,2010-07-31,2052950,,,
36 months,A,2010-07-31,2052950,2011-07-31,8233,12
36 months,A,2010-07-31,2052950,2011-09-30,3860,14
36 months,A,2010-07-31,2052950,2011-12-31,4155,17
36 months,A,2010-07-31,2052950,2012-01-31,4459,18
36 months,A,2010-07-31,2052950,2012-03-31,3051,20
36 months,A,2010-07-31,2052950,2012-04-30,7333,21
36 months,A,2010-07-31,2052950,2012-10-31,5326,27
36 months,A,2010-07-31,2052950,2013-03-31,4523,32
36 months,A,2010-07-31,2052950,2013-06-30,1289,35
36 months,A,2010-08-31,1451475,,,
36 months,A,2010-08-31,1451475,2011-06-30,2835,10
36 months,A,2010-08-31,1451475,2011-07-31,5461,11
36 months,A,2010-08-31,1451475,2011-08-31,2124,12
36 months,A,2010-08-31,1451475,2012-05-31,7020,21
36 months,A,2010-08-31,1451475,2013-08-31,2407,36
36 months,A,2010-08-31,1451475,2013-12-31,814,40
36 months,A,2010-09-30,1848300,,,
36 months,A,2010-09-30,1848300,2011-08-31,8490,11
36 months,A,2010-09-30,1848300,2011-12-31,3860,15
36 months,A,2010-09-30,1848300,2012-01-31,4475,16
36 months,A,2010-09-30,1848300,2012-07-31,2925,22
36 months,A,2010-09-30,1848300,2012-10-31,6527,25
36 months,A,2010-09-30,1848300,2012-12-31,3048,27
36 months,A,2010-09-30,1848300,2013-03-31,4685,30
36 months,A,2010-09-30,1848300,2013-04-30,2158,31
36 months,A,2010-09-30,1848300,2013-05-31,3028,32
36 months,A,2010-09-30,1848300,2013-06-30,4090,33
36 months,A,2010-09-30,1848300,2013-09-30,3133,36
36 months,A,2010-09-30,1848300,2013-10-31,1834,37
36 months,A,2010-09-30,1848300,2013-12-31,241,39
36 months,A,2010-10-31,2064700,,,
36 months,A,2010-10-31,2064700,2011-10-31,9886,12
36 months,A,2010-10-31,2064700,2011-12-31,4632,14
36 months,A,2010-10-31,2064700,2012-01-31,6922,15
36 months,A,2010-10-31,2064700,2012-07-31,8767,21
36 months,A,2010-10-31,2064700,2012-08-31,7857,22
36 months,A,2010-10-31,2064700,2012-09-30,11901,23
36 months,A,2010-10-31,2064700,2012-12-31,3457,26
36 months,A,2010-10-31,2064700,2013-03-31,4180,29
36 months,A,2010-10-31,2064700,2013-04-30,1960,30
36 months,A,2010-10-31,2064700,2013-05-31,2464,31
36 months,A,2010-10-31,2064700,2013-07-31,606,33
36 months,A,2010-10-31,2064700,2013-09-30,4094,35
36 months,A,2010-11-30,2798775,,,
36 months,A,2010-11-30,2798775,2011-09-30,6110,10
36 months,A,2010-11-30,2798775,2012-05-31,18677,18
36 months,A,2010-11-30,2798775,2012-10-31,10464,23
36 months,A,2010-11-30,2798775,2013-04-30,1085,29
36 months,A,2010-11-30,2798775,2013-07-31,4991,32
36 months,A,2010-11-30,2798775,2014-02-28,2365,39
36 months,A,2010-12-31,4213825,,,
36 months,A,2010-12-31,4213825,2012-01-31,24279,13
36 months,A,2010-12-31,4213825,2012-02-29,11932,14
36 months,A,2010-12-31,4213825,2012-05-31,10730,17
36 months,A,2010-12-31,4213825,2012-07-31,1981,19
36 months,A,2010-12-31,4213825,2012-08-31,15387,20
36 months,A,2010-12-31,4213825,2012-09-30,23043,21
36 months,A,2010-12-31,4213825,2012-10-31,6064,22
36 months,A,2010-12-31,4213825,2012-11-30,6276,23
36 months,A,2010-12-31,4213825,2012-12-31,5227,24
36 months,A,2010-12-31,4213825,2013-03-31,3736,27
36 months,A,2010-12-31,4213825,2013-06-30,1322,30
36 months,A,2010-12-31,4213825,2013-07-31,12063,31
36 months,A,2010-12-31,4213825,2013-08-31,3282,32
36 months,A,2010-12-31,4213825,2013-11-30,1072,35
36 months,A,2010-12-31,4213825,2014-06-30,139,42
36 months,A,2011-01-31,3506475,,,
36 months,A,2011-01-31,3506475,2011-09-30,14985,8
36 months,A,2011-01-31,3506475,2011-11-30,5240,10
36 months,A,2011-01-31,3506475,2012-01-31,17079,12
36 months,A,2011-01-31,3506475,2012-02-29,3176,13
36 months,A,2011-01-31,3506475,2012-03-31,21116,14
36 months,A,2011-01-31,3506475,2012-08-31,6973,19
36 months,A,2011-01-31,3506475,2012-09-30,9365,20
36 months,A,2011-01-31,3506475,2012-11-30,918,22
36 months,A,2011-01-31,3506475,2012-12-31,7689,23
36 months,A,2011-01-31,3506475,2013-01-31,10591,24
36 months,A,2011-01-31,3506475,2013-02-28,3062,25
36 months,A,2011-01-31,3506475,2013-06-30,8156,29
36 months,A,2011-01-31,3506475,2013-07-31,3954,30
36 months,A,2011-01-31,3506475,2013-10-31,803,33
36 months,A,2011-01-31,3506475,2013-11-30,2316,34
36 months,A,2011-01-31,3506475,2013-12-31,3112,35
36 months,A,2011-01-31,3506475,2014-02-28,2389,37
36 months,A,2011-01-31,3506475,2014-03-31,1137,38
36 months,A,2011-01-31,3506475,2014-04-30,919,39
