term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,C,2011-06-30,1784250,2013-07-31,9690,25
36 months,C,2011-06-30,1784250,2013-09-30,10065,27
36 months,C,2011-06-30,1784250,2013-10-31,3665,28
36 months,C,2011-06-30,1784250,2013-11-30,2227,29
36 months,C,2011-06-30,1784250,2013-12-31,5268,30
36 months,C,2011-06-30,1784250,2014-01-31,3143,31
36 months,C,2011-06-30,1784250,2014-04-30,2326,34
36 months,C,2011-06-30,1784250,2014-06-30,1829,36
36 months,C,2011-06-30,1784250,2014-07-31,6915,37
36 months,C,2011-07-31,1655675,,,
36 months,C,2011-07-31,1655675,2011-12-31,14600,5
36 months,C,2011-07-31,1655675,2012-01-31,7234,6
36 months,C,2011-07-31,1655675,2012-03-31,6679,8
36 months,C,2011-07-31,1655675,2012-05-31,5865,10
36 months,C,2011-07-31,1655675,2012-06-30,2796,11
36 months,C,2011-07-31,1655675,2012-07-31,18481,12
36 months,C,2011-07-31,1655675,2012-08-31,9331,13
36 months,C,2011-07-31,1655675,2012-10-31,17322,15
36 months,C,2011-07-31,1655675,2012-11-30,15317,16
36 months,C,2011-07-31,1655675,2012-12-31,12762,17
36 months,C,2011-07-31,1655675,2013-01-31,7516,18
36 months,C,2011-07-31,1655675,2013-02-28,19111,19
36 months,C,2011-07-31,1655675,2013-03-31,2220,20
36 months,C,2011-07-31,1655675,2013-05-31,2610,22
36 months,C,2011-07-31,1655675,2013-07-31,4063,24
36 months,C,2011-07-31,1655675,2013-09-30,2587,26
36 months,C,2011-07-31,1655675,2013-10-31,6150,27
36 months,C,2011-07-31,1655675,2013-12-31,1909,29
36 months,C,2011-07-31,1655675,2014-02-28,6748,31
36 months,C,2011-07-31,1655675,2014-05-31,516,34
36 months,C,2011-07-31,1655675,2014-06-30,3680,35
36 months,C,2011-07-31,1655675,2014-12-31,746,41
36 months,C,2011-08-31,1705100,,,
36 months,C,2011-08-31,1705100,2012-01-31,4600,5
36 months,C,2011-08-31,1705100,2012-05-31,4794,9
36 months,C,2011-08-31,1705100,2012-06-30,17048,10
36 months,C,2011-08-31,1705100,2012-07-31,1340,11
36 months,C,2011-08-31,1705100,2012-09-30,12190,13
36 months,C,2011-08-31,1705100,2012-11-30,29939,15
36 months,C,2011-08-31,1705100,2012-12-31,7486,16
36 months,C,2011-08-31,1705100,2013-02-28,2402,18
36 months,C,2011-08-31,1705100,2013-08-31,7117,24
36 months,C,2011-08-31,1705100,2013-09-30,4032,25
36 months,C,2011-08-31,1705100,2013-10-31,5251,26
36 months,C,2011-08-31,1705100,2013-12-31,2855,28
36 months,C,2011-08-31,1705100,2014-06-30,2331,34
36 months,C,2011-08-31,1705100,2014-09-30,1275,37
36 months,C,2011-08-31,1705100,2014-10-31,3157,38
36 months,C,2011-08-31,1705100,2014-12-31,331,40
36 months,C,2011-09-30,1679975,,,
36 months,C,2011-09-30,1679975,2012-02-29,4800,5
36 months,C,2011-09-30,1679975,2012-05-31,10985,8
36 months,C,2011-09-30,1679975,2012-06-30,908,9
36 months,C,2011-09-30,1679975,2012-07-31,13635,10
36 months,C,2011-09-30,1679975,2012-08-31,6205,11
36 months,C,2011-09-30,1679975,2012-09-30,9662,12
36 months,C,2011-09-30,1679975,2012-10-31,21440,13
36 months,C,2011-09-30,1679975,2012-12-31,27294,15
36 months,C,2011-09-30,1679975,2013-01-31,2308,16
36 months,C,2011-09-30,1679975,2013-02-28,7348,17
36 months,C,2011-09-30,1679975,2013-03-31,5959,18
36 months,C,2011-09-30,1679975,2013-04-30,10223,19
36 months,C,2011-09-30,1679975,2013-05-31,1836,20
36 months,C,2011-09-30,1679975,2013-06-30,2546,21
36 months,C,2011-09-30,1679975,2013-08-31,16915,23
36 months,C,2011-09-30,1679975,2013-10-31,884,25
36 months,C,2011-09-30,1679975,2013-11-30,16589,26
36 months,C,2011-09-30,1679975,2013-12-31,27686,27
36 months,C,2011-09-30,1679975,2014-02-28,3823,29
36 months,C,2011-09-30,1679975,2014-03-31,7517,30
36 months,C,2011-09-30,1679975,2014-05-31,3149,32
36 months,C,2011-09-30,1679975,2014-06-30,5558,33
36 months,C,2011-09-30,1679975,2014-07-31,16584,34
36 months,C,2011-09-30,1679975,2014-09-30,1818,36
36 months,C,2011-09-30,1679975,2014-10-31,2523,37
36 months,C,2011-09-30,1679975,2014-12-31,794,39
36 months,C,2011-10-31,1799750,,,
36 months,C,2011-10-31,1799750,2012-04-30,21111,6
36 months,C,2011-10-31,1799750,2012-07-31,22755,9
36 months,C,2011-10-31,1799750,2012-08-31,8637,10
36 months,C,2011-10-31,1799750,2012-09-30,3536,11
36 months,C,2011-10-31,1799750,2012-10-31,27405,12
36 months,C,2011-10-31,1799750,2012-12-31,10680,14
36 months,C,2011-10-31,1799750,2013-03-31,4267,17
36 months,C,2011-10-31,1799750,2013-04-30,7230,18
36 months,C,2011-10-31,1799750,2013-05-31,4636,19
36 months,C,2011-10-31,1799750,2013-06-30,3725,20
36 months,C,2011-10-31,1799750,2013-08-31,20830,22
36 months,C,2011-10-31,1799750,2013-09-30,3878,23
36 months,C,2011-10-31,1799750,2013-10-31,5551,24
36 months,C,2011-10-31,1799750,2014-01-31,2594,27
36 months,C,2011-10-31,1799750,2014-02-28,11943,28
36 months,C,2011-10-31,1799750,2014-03-31,3222,29
36 months,C,2011-10-31,1799750,2014-05-31,1446,31
36 months,C,2011-10-31,1799750,2014-06-30,7855,32
36 months,C,2011-11-30,2546375,,,
36 months,C,2011-11-30,2546375,2012-04-30,8000,5
36 months,C,2011-11-30,2546375,2012-08-31,6520,9
36 months,C,2011-11-30,2546375,2012-09-30,14808,10
36 months,C,2011-11-30,2546375,2012-10-31,15478,11
36 months,C,2011-11-30,2546375,2012-11-30,5110,12
36 months,C,2011-11-30,2546375,2012-12-31,15726,13
36 months,C,2011-11-30,2546375,2013-01-31,47674,14
36 months,C,2011-11-30,2546375,2013-02-28,10267,15
36 months,C,2011-11-30,2546375,2013-06-30,826,19
36 months,C,2011-11-30,2546375,2013-07-31,10677,20
36 months,C,2011-11-30,2546375,2013-08-31,27764,21
36 months,C,2011-11-30,2546375,2013-09-30,13163,22
36 months,C,2011-11-30,2546375,2013-10-31,12662,23
36 months,C,2011-11-30,2546375,2014-01-31,5042,26
36 months,C,2011-11-30,2546375,2014-04-30,2950,29
36 months,C,2011-11-30,2546375,2014-05-31,3475,30
36 months,C,2011-11-30,2546375,2014-06-30,1560,31
36 months,C,2011-11-30,2546375,2014-07-31,3797,32
36 months,C,2011-11-30,2546375,2014-08-31,1114,33
36 months,C,2011-11-30,2546375,2014-09-30,2097,34
36 months,C,2011-11-30,2546375,2014-11-30,1126,36
36 months,C,2011-11-30,2546375,2015-01-31,1442,38
36 months,C,2011-12-31,2837900,,,
36 months,C,2011-12-31,2837900,2012-05-31,15000,5
36 months,C,2011-12-31,2837900,2012-06-30,978,6
36 months,C,2011-12-31,2837900,2012-07-31,14335,7
36 months,C,2011-12-31,2837900,2012-08-31,14183,8
36 months,C,2011-12-31,2837900,2012-11-30,17239,11
36 months,C,2011-12-31,2837900,2012-12-31,31761,12
36 months,C,2011-12-31,2837900,2013-01-31,46997,13
36 months,C,2011-12-31,2837900,2013-02-28,12632,14
36 months,C,2011-12-31,2837900,2013-03-31,17389,15
36 months,C,2011-12-31,2837900,2013-04-30,32372,16
36 months,C,2011-12-31,2837900,2013-05-31,16512,17
36 months,C,2011-12-31,2837900,2013-07-31,12869,19
36 months,C,2011-12-31,2837900,2013-09-30,4325,21
36 months,C,2011-12-31,2837900,2013-10-31,9527,22
36 months,C,2011-12-31,2837900,2013-11-30,10268,23
36 months,C,2011-12-31,2837900,2013-12-31,11009,24
36 months,C,2011-12-31,2837900,2014-05-31,6212,29
36 months,C,2011-12-31,2837900,2014-07-31,3276,31
36 months,C,2011-12-31,2837900,2014-08-31,8129,32
36 months,C,2011-12-31,2837900,2014-09-30,6727,33
36 months,C,2011-12-31,2837900,2014-10-31,1159,34
36 months,C,2011-12-31,2837900,2014-11-30,3466,35
36 months,C,2011-12-31,2837900,2014-12-31,1003,36
36 months,C,2012-01-31,4303650,,,
36 months,C,2012-01-31,4303650,2012-08-31,13373,7
36 months,C,2012-01-31,4303650,2012-10-31,15276,9
36 months,C,2012-01-31,4303650,2012-11-30,41377,10
36 months,C,2012-01-31,4303650,2013-01-31,36256,12
36 months,C,2012-01-31,4303650,2013-02-28,13337,13
36 months,C,2012-01-31,4303650,2013-04-30,7960,15
36 months,C,2012-01-31,4303650,2013-05-31,28227,16
36 months,C,2012-01-31,4303650,2013-06-30,21306,17
36 months,C,2012-01-31,4303650,2013-08-31,22369,19
36 months,C,2012-01-31,4303650,2013-09-30,17748,20
36 months,C,2012-01-31,4303650,2013-10-31,15132,21
36 months,C,2012-01-31,4303650,2013-11-30,26834,22
36 months,C,2012-01-31,4303650,2013-12-31,5510,23
36 months,C,2012-01-31,4303650,2014-01-31,17784,24
36 months,C,2012-01-31,4303650,2014-02-28,2994,25
36 months,C,2012-01-31,4303650,2014-03-31,33460,26
36 months,C,2012-01-31,4303650,2014-04-30,5283,27
36 months,C,2012-01-31,4303650,2014-05-31,5494,28
36 months,C,2012-01-31,4303650,2014-06-30,5976,29
36 months,C,2012-01-31,4303650,2014-08-31,2142,31
36 months,C,2012-01-31,4303650,2014-10-31,6312,33
36 months,C,2012-01-31,4303650,2014-11-30,3732,34
36 months,C,2012-01-31,4303650,2014-12-31,1875,35
36 months,C,2012-01-31,4303650,2015-01-31,2388,36
36 months,C,2012-01-31,4303650,2015-02-28,2947,37
36 months,C,2012-01-31,4303650,2015-03-31,1310,38
36 months,C,2012-02-29,4673950,,,
36 months,C,2012-02-29,4673950,2012-08-31,5866,6
36 months,C,2012-02-29,4673950,2012-09-30,9775,7
36 months,C,2012-02-29,4673950,2012-11-30,31965,9
36 months,C,2012-02-29,4673950,2012-12-31,35780,10
36 months,C,2012-02-29,4673950,2013-01-31,8278,11
36 months,C,2012-02-29,4673950,2013-02-28,16756,12
36 months,C,2012-02-29,4673950,2013-03-31,16546,13
36 months,C,2012-02-29,4673950,2013-04-30,39764,14
36 months,C,2012-02-29,4673950,2013-05-31,22825,15
36 months,C,2012-02-29,4673950,2013-07-31,3616,17
36 months,C,2012-02-29,4673950,2013-08-31,15458,18
36 months,C,2012-02-29,4673950,2013-10-31,38811,20
36 months,C,2012-02-29,4673950,2013-11-30,15367,21
36 months,C,2012-02-29,4673950,2013-12-31,17075,22
36 months,C,2012-02-29,4673950,2014-01-31,33354,23
36 months,C,2012-02-29,4673950,2014-02-28,17150,24
36 months,C,2012-02-29,4673950,2014-03-31,36086,25
36 months,C,2012-02-29,4673950,2014-04-30,11232,26
36 months,C,2012-02-29,4673950,2014-05-31,8837,27
36 months,C,2012-02-29,4673950,2014-06-30,6705,28
36 months,C,2012-02-29,4673950,2014-07-31,8191,29
36 months,C,2012-02-29,4673950,2014-08-31,9294,30
36 months,C,2012-02-29,4673950,2014-09-30,3690,31
36 months,C,2012-02-29,4673950,2014-10-31,1790,32
36 months,C,2012-02-29,4673950,2014-11-30,3973,33
36 months,C,2012-02-29,4673950,2014-12-31,5397,34
36 months,C,2012-02-29,4673950,2015-01-31,2019,35
36 months,C,2012-02-29,4673950,2015-02-28,1254,36
36 months,C,2012-02-29,4673950,2015-03-31,691,37
36 months,C,2012-02-29,4673950,2015-05-31,2964,39
36 months,C,2012-02-29,4673950,2015-09-30,1665,43
36 months,C,2012-03-31,4764750,,,
36 months,C,2012-03-31,4764750,2012-09-30,6161,6
36 months,C,2012-03-31,4764750,2012-10-31,21174,7
36 months,C,2012-03-31,4764750,2012-11-30,16864,8
36 months,C,2012-03-31,4764750,2012-12-31,18457,9
36 months,C,2012-03-31,4764750,2013-01-31,6992,10
36 months,C,2012-03-31,4764750,2013-02-28,39394,11
36 months,C,2012-03-31,4764750,2013-03-31,23291,12
36 months,C,2012-03-31,4764750,2013-04-30,10375,13
36 months,C,2012-03-31,4764750,2013-05-31,9476,14
36 months,C,2012-03-31,4764750,2013-06-30,41871,15
36 months,C,2012-03-31,4764750,2013-07-31,5766,16
36 months,C,2012-03-31,4764750,2013-08-31,3801,17
36 months,C,2012-03-31,4764750,2013-09-30,34366,18
36 months,C,2012-03-31,4764750,2013-10-31,17980,19
36 months,C,2012-03-31,4764750,2013-11-30,2222,20
36 months,C,2012-03-31,4764750,2013-12-31,12038,21
36 months,C,2012-03-31,4764750,2014-01-31,7395,22
36 months,C,2012-03-31,4764750,2014-02-28,18359,23
36 months,C,2012-03-31,4764750,2014-03-31,40352,24
36 months,C,2012-03-31,4764750,2014-04-30,24846,25
36 months,C,2012-03-31,4764750,2014-05-31,4037,26
36 months,C,2012-03-31,4764750,2014-06-30,1993,27
36 months,C,2012-03-31,4764750,2014-07-31,4969,28
36 months,C,2012-03-31,4764750,2014-08-31,4125,29
36 months,C,2012-03-31,4764750,2014-09-30,4276,30
36 months,C,2012-03-31,4764750,2014-10-31,3752,31
36 months,C,2012-03-31,4764750,2014-11-30,22452,32
36 months,C,2012-03-31,4764750,2014-12-31,8665,33
36 months,C,2012-03-31,4764750,2015-03-31,2783,36
36 months,C,2012-03-31,4764750,2015-05-31,1786,38
36 months,C,2012-04-30,6003975,,,
36 months,C,2012-04-30,6003975,2012-10-31,9783,6
36 months,C,2012-04-30,6003975,2012-11-30,51594,7
36 months,C,2012-04-30,6003975,2012-12-31,26244,8
36 months,C,2012-04-30,6003975,2013-01-31,25606,9
36 months,C,2012-04-30,6003975,2013-02-28,6994,10
36 months,C,2012-04-30,6003975,2013-03-31,19027,11
36 months,C,2012-04-30,6003975,2013-04-30,60986,12
36 months,C,2012-04-30,6003975,2013-05-31,27047,13
36 months,C,2012-04-30,6003975,2013-06-30,43921,14
36 months,C,2012-04-30,6003975,2013-07-31,25582,15
36 months,C,2012-04-30,6003975,2013-08-31,22176,16
36 months,C,2012-04-30,6003975,2013-09-30,29112,17
36 months,C,2012-04-30,6003975,2013-10-31,35150,18
36 months,C,2012-04-30,6003975,2013-11-30,16823,19
36 months,C,2012-04-30,6003975,2013-12-31,22782,20
36 months,C,2012-04-30,6003975,2014-01-31,33583,21
36 months,C,2012-04-30,6003975,2014-02-28,27810,22
36 months,C,2012-04-30,6003975,2014-03-31,38835,23
36 months,C,2012-04-30,6003975,2014-04-30,8934,24
36 months,C,2012-04-30,6003975,2014-05-31,36515,25
36 months,C,2012-04-30,6003975,2014-06-30,11561,26
36 months,C,2012-04-30,6003975,2014-07-31,14898,27
36 months,C,2012-04-30,6003975,2014-08-31,9307,28
36 months,C,2012-04-30,6003975,2014-09-30,27045,29
36 months,C,2012-04-30,6003975,2014-10-31,16116,30
36 months,C,2012-04-30,6003975,2014-11-30,1409,31
36 months,C,2012-04-30,6003975,2014-12-31,10356,32
36 months,C,2012-04-30,6003975,2015-01-31,9204,33
36 months,C,2012-04-30,6003975,2015-02-28,8550,34
36 months,C,2012-04-30,6003975,2015-03-31,960,35
36 months,C,2012-04-30,6003975,2015-04-30,2504,36
36 months,C,2012-04-30,6003975,2015-05-31,9387,37
36 months,C,2012-04-30,6003975,2015-08-31,1512,40
36 months,C,2012-05-31,6294025,,,
36 months,C,2012-05-31,6294025,2012-10-31,8000,5
36 months,C,2012-05-31,6294025,2012-11-30,15106,6
36 months,C,2012-05-31,6294025,2012-12-31,30380,7
36 months,C,2012-05-31,6294025,2013-01-31,13572,8
36 months,C,2012-05-31,6294025,2013-02-28,66087,9
36 months,C,2012-05-31,6294025,2013-03-31,18545,10
36 months,C,2012-05-31,6294025,2013-04-30,12960,11
36 months,C,2012-05-31,6294025,2013-05-31,41995,12
36 months,C,2012-05-31,6294025,2013-06-30,39399,13
36 months,C,2012-05-31,6294025,2013-08-31,6158,15
36 months,C,2012-05-31,6294025,2013-09-30,38561,16
36 months,C,2012-05-31,6294025,2013-10-31,6137,17
36 months,C,2012-05-31,6294025,2013-11-30,67607,18
36 months,C,2012-05-31,6294025,2013-12-31,20324,19
36 months,C,2012-05-31,6294025,2014-01-31,50168,20
36 months,C,2012-05-31,6294025,2014-02-28,15673,21
36 months,C,2012-05-31,6294025,2014-03-31,44608,22
36 months,C,2012-05-31,6294025,2014-04-30,16334,23
36 months,C,2012-05-31,6294025,2014-05-31,3629,24
36 months,C,2012-05-31,6294025,2014-06-30,9486,25
36 months,C,2012-05-31,6294025,2014-08-31,13078,27
36 months,C,2012-05-31,6294025,2014-09-30,30076,28
36 months,C,2012-05-31,6294025,2014-10-31,9795,29
36 months,C,2012-05-31,6294025,2014-11-30,12667,30
36 months,C,2012-05-31,6294025,2014-12-31,14138,31
36 months,C,2012-05-31,6294025,2015-01-31,25816,32
36 months,C,2012-05-31,6294025,2015-02-28,4696,33
36 months,C,2012-05-31,6294025,2015-03-31,9275,34
36 months,C,2012-05-31,6294025,2015-04-30,2757,35
36 months,C,2012-05-31,6294025,2015-05-31,2491,36
36 months,C,2012-05-31,6294025,2015-06-30,1562,37
36 months,C,2012-05-31,6294025,2015-08-31,2613,39
36 months,C,2012-05-31,6294025,2015-10-31,589,41
36 months,C,2012-06-30,8234400,,,
36 months,C,2012-06-30,8234400,2012-12-31,20943,6
36 months,C,2012-06-30,8234400,2013-01-31,19119,7
36 months,C,2012-06-30,8234400,2013-02-28,27306,8
36 months,C,2012-06-30,8234400,2013-03-31,20803,9
36 months,C,2012-06-30,8234400,2013-04-30,38211,10
36 months,C,2012-06-30,8234400,2013-05-31,47336,11
36 months,C,2012-06-30,8234400,2013-06-30,44854,12
36 months,C,2012-06-30,8234400,2013-07-31,21700,13
36 months,C,2012-06-30,8234400,2013-08-31,70608,14
36 months,C,2012-06-30,8234400,2013-09-30,76580,15
36 months,C,2012-06-30,8234400,2013-10-31,77222,16
36 months,C,2012-06-30,8234400,2013-11-30,81169,17
36 months,C,2012-06-30,8234400,2013-12-31,55167,18
36 months,C,2012-06-30,8234400,2014-01-31,49999,19
36 months,C,2012-06-30,8234400,2014-02-28,67201,20
36 months,C,2012-06-30,8234400,2014-03-31,25639,21
36 months,C,2012-06-30,8234400,2014-04-30,41796,22
36 months,C,2012-06-30,8234400,2014-05-31,15619,23
36 months,C,2012-06-30,8234400,2014-06-30,5821,24
36 months,C,2012-06-30,8234400,2014-07-31,6691,25
36 months,C,2012-06-30,8234400,2014-08-31,48238,26
36 months,C,2012-06-30,8234400,2014-09-30,25031,27
36 months,C,2012-06-30,8234400,2014-10-31,11631,28
36 months,C,2012-06-30,8234400,2014-11-30,7536,29
36 months,C,2012-06-30,8234400,2014-12-31,1526,30
36 months,C,2012-06-30,8234400,2015-01-31,10850,31
36 months,C,2012-06-30,8234400,2015-02-28,19606,32
36 months,C,2012-06-30,8234400,2015-03-31,3951,33
36 months,C,2012-06-30,8234400,2015-04-30,8726,34
36 months,C,2012-06-30,8234400,2015-05-31,4579,35
36 months,C,2012-06-30,8234400,2015-06-30,4905,36
36 months,C,2012-06-30,8234400,2015-10-31,2588,40
36 months,C,2012-06-30,8234400,2015-11-30,1065,41
36 months,C,2012-07-31,10047900,,,
36 months,C,2012-07-31,10047900,2013-01-31,30861,6
36 months,C,2012-07-31,10047900,2013-02-28,39275,7
36 months,C,2012-07-31,10047900,2013-03-31,37129,8
36 months,C,2012-07-31,10047900,2013-04-30,38156,9
36 months,C,2012-07-31,10047900,2013-05-31,63636,10
36 months,C,2012-07-31,10047900,2013-06-30,47103,11
36 months,C,2012-07-31,10047900,2013-07-31,44822,12
36 months,C,2012-07-31,10047900,2013-08-31,56995,13
36 months,C,2012-07-31,10047900,2013-09-30,53709,14
36 months,C,2012-07-31,10047900,2013-10-31,101820,15
36 months,C,2012-07-31,10047900,2013-11-30,68775,16
36 months,C,2012-07-31,10047900,2013-12-31,59026,17
36 months,C,2012-07-31,10047900,2014-01-31,44482,18
36 months,C,2012-07-31,10047900,2014-02-28,39328,19
36 months,C,2012-07-31,10047900,2014-03-31,48238,20
36 months,C,2012-07-31,10047900,2014-04-30,37100,21
36 months,C,2012-07-31,10047900,2014-05-31,25349,22
36 months,C,2012-07-31,10047900,2014-06-30,57974,23
36 months,C,2012-07-31,10047900,2014-07-31,37491,24
36 months,C,2012-07-31,10047900,2014-08-31,33976,25
36 months,C,2012-07-31,10047900,2014-09-30,38176,26
36 months,C,2012-07-31,10047900,2014-10-31,4294,27
36 months,C,2012-07-31,10047900,2014-11-30,10761,28
36 months,C,2012-07-31,10047900,2014-12-31,18206,29
36 months,C,2012-07-31,10047900,2015-01-31,16251,30
36 months,C,2012-07-31,10047900,2015-02-28,16061,31
36 months,C,2012-07-31,10047900,2015-03-31,7420,32
36 months,C,2012-07-31,10047900,2015-04-30,9489,33
36 months,C,2012-07-31,10047900,2015-05-31,22808,34
36 months,C,2012-07-31,10047900,2015-07-31,1041,36
36 months,C,2012-07-31,10047900,2015-08-31,2593,37
36 months,C,2012-07-31,10047900,2015-09-30,1035,38
36 months,C,2012-07-31,10047900,2015-11-30,6053,40
36 months,C,2012-08-31,12001475,,,
36 months,C,2012-08-31,12001475,2013-01-31,15000,5
36 months,C,2012-08-31,12001475,2013-02-28,19553,6
36 months,C,2012-08-31,12001475,2013-03-31,17930,7
36 months,C,2012-08-31,12001475,2013-04-30,23385,8
36 months,C,2012-08-31,12001475,2013-05-31,120424,9
36 months,C,2012-08-31,12001475,2013-06-30,73759,10
36 months,C,2012-08-31,12001475,2013-07-31,46963,11
36 months,C,2012-08-31,12001475,2013-08-31,72557,12
36 months,C,2012-08-31,12001475,2013-09-30,33629,13
36 months,C,2012-08-31,12001475,2013-10-31,39097,14
36 months,C,2012-08-31,12001475,2013-11-30,95432,15
36 months,C,2012-08-31,12001475,2013-12-31,74706,16
36 months,C,2012-08-31,12001475,2014-01-31,34664,17
36 months,C,2012-08-31,12001475,2014-02-28,57203,18
36 months,C,2012-08-31,12001475,2014-03-31,65175,19
36 months,C,2012-08-31,12001475,2014-04-30,75083,20
36 months,C,2012-08-31,12001475,2014-05-31,22964,21
36 months,C,2012-08-31,12001475,2014-06-30,69135,22
36 months,C,2012-08-31,12001475,2014-07-31,31963,23
36 months,C,2012-08-31,12001475,2014-08-31,16111,24
36 months,C,2012-08-31,12001475,2014-09-30,30114,25
36 months,C,2012-08-31,12001475,2014-10-31,23923,26
36 months,C,2012-08-31,12001475,2014-11-30,15354,27
36 months,C,2012-08-31,12001475,2014-12-31,11537,28
36 months,C,2012-08-31,12001475,2015-01-31,24861,29
36 months,C,2012-08-31,12001475,2015-02-28,22310,30
36 months,C,2012-08-31,12001475,2015-03-31,21126,31
36 months,C,2012-08-31,12001475,2015-04-30,13510,32
36 months,C,2012-08-31,12001475,2015-05-31,25459,33
36 months,C,2012-08-31,12001475,2015-06-30,2079,34
36 months,C,2012-08-31,12001475,2015-07-31,10311,35
36 months,C,2012-08-31,12001475,2015-09-30,2614,37
36 months,C,2012-08-31,12001475,2015-10-31,2908,38
36 months,C,2012-08-31,12001475,2015-11-30,1564,39
36 months,C,2012-09-30,13501800,,,
36 months,C,2012-09-30,13501800,2013-02-28,3075,5
36 months,C,2012-09-30,13501800,2013-03-31,5307,6
36 months,C,2012-09-30,13501800,2013-04-30,46892,7
36 months,C,2012-09-30,13501800,2013-05-31,25014,8
36 months,C,2012-09-30,13501800,2013-06-30,32051,9
36 months,C,2012-09-30,13501800,2013-07-31,39511,10
36 months,C,2012-09-30,13501800,2013-08-31,74756,11
36 months,C,2012-09-30,13501800,2013-09-30,26239,12
36 months,C,2012-09-30,13501800,2013-10-31,85876,13
36 months,C,2012-09-30,13501800,2013-11-30,63034,14
36 months,C,2012-09-30,13501800,2013-12-31,130920,15
36 months,C,2012-09-30,13501800,2014-01-31,95047,16
36 months,C,2012-09-30,13501800,2014-02-28,58525,17
36 months,C,2012-09-30,13501800,2014-03-31,48365,18
36 months,C,2012-09-30,13501800,2014-04-30,44494,19
36 months,C,2012-09-30,13501800,2014-05-31,38627,20
36 months,C,2012-09-30,13501800,2014-06-30,7631,21
36 months,C,2012-09-30,13501800,2014-07-31,34576,22
36 months,C,2012-09-30,13501800,2014-08-31,59422,23
36 months,C,2012-09-30,13501800,2014-09-30,65295,24
36 months,C,2012-09-30,13501800,2014-10-31,22084,25
36 months,C,2012-09-30,13501800,2014-11-30,51089,26
36 months,C,2012-09-30,13501800,2014-12-31,42280,27
36 months,C,2012-09-30,13501800,2015-01-31,35599,28
36 months,C,2012-09-30,13501800,2015-02-28,17036,29
36 months,C,2012-09-30,13501800,2015-03-31,18235,30
36 months,C,2012-09-30,13501800,2015-04-30,12240,31
36 months,C,2012-09-30,13501800,2015-05-31,37928,32
36 months,C,2012-09-30,13501800,2015-06-30,3683,33
36 months,C,2012-09-30,13501800,2015-07-31,19914,34
36 months,C,2012-09-30,13501800,2015-08-31,2339,35
36 months,C,2012-10-31,13902025,,,
36 months,C,2012-10-31,13902025,2013-03-31,37250,5
36 months,C,2012-10-31,13902025,2013-04-30,27543,6
36 months,C,2012-10-31,13902025,2013-05-31,14344,7
36 months,C,2012-10-31,13902025,2013-06-30,82465,8
36 months,C,2012-10-31,13902025,2013-07-31,69221,9
36 months,C,2012-10-31,13902025,2013-08-31,64524,10
36 months,C,2012-10-31,13902025,2013-09-30,97513,11
36 months,C,2012-10-31,13902025,2013-10-31,90699,12
36 months,C,2012-10-31,13902025,2013-11-30,60174,13
36 months,C,2012-10-31,13902025,2013-12-31,82778,14
36 months,C,2012-10-31,13902025,2014-01-31,54407,15
36 months,C,2012-10-31,13902025,2014-02-28,58616,16
36 months,C,2012-10-31,13902025,2014-03-31,29932,17
36 months,C,2012-10-31,13902025,2014-04-30,34253,18
36 months,C,2012-10-31,13902025,2014-05-31,48059,19
36 months,C,2012-10-31,13902025,2014-06-30,45428,20
36 months,C,2012-10-31,13902025,2014-07-31,10106,21
36 months,C,2012-10-31,13902025,2014-08-31,38894,22
36 months,C,2012-10-31,13902025,2014-09-30,58695,23
36 months,C,2012-10-31,13902025,2014-10-31,23015,24
36 months,C,2012-10-31,13902025,2014-11-30,22065,25
36 months,C,2012-10-31,13902025,2014-12-31,39443,26
36 months,C,2012-10-31,13902025,2015-01-31,32188,27
36 months,C,2012-10-31,13902025,2015-02-28,28004,28
36 months,C,2012-10-31,13902025,2015-03-31,23372,29
36 months,C,2012-10-31,13902025,2015-04-30,8319,30
36 months,C,2012-10-31,13902025,2015-05-31,33671,31
36 months,C,2012-10-31,13902025,2015-06-30,5138,32
36 months,C,2012-10-31,13902025,2015-07-31,7814,33
36 months,C,2012-10-31,13902025,2015-08-31,6047,34
36 months,C,2012-10-31,13902025,2015-09-30,12795,35
36 months,C,2012-10-31,13902025,2015-10-31,10176,36
36 months,C,2012-10-31,13902025,2015-11-30,7662,37
36 months,C,2012-11-30,15105900,,,
36 months,C,2012-11-30,15105900,2013-04-30,12000,5
36 months,C,2012-11-30,15105900,2013-05-31,4892,6
36 months,C,2012-11-30,15105900,2013-06-30,27919,7
36 months,C,2012-11-30,15105900,2013-07-31,7072,8
36 months,C,2012-11-30,15105900,2013-08-31,51531,9
36 months,C,2012-11-30,15105900,2013-09-30,35840,10
36 months,C,2012-11-30,15105900,2013-10-31,16540,11
36 months,C,2012-11-30,15105900,2013-11-30,64490,12
36 months,C,2012-11-30,15105900,2013-12-31,97314,13
36 months,C,2012-11-30,15105900,2014-01-31,84914,14
36 months,C,2012-11-30,15105900,2014-02-28,54260,15
36 months,C,2012-11-30,15105900,2014-03-31,62338,16
36 months,C,2012-11-30,15105900,2014-04-30,88659,17
36 months,C,2012-11-30,15105900,2014-05-31,132191,18
36 months,C,2012-11-30,15105900,2014-06-30,67519,19
36 months,C,2012-11-30,15105900,2014-07-31,45386,20
36 months,C,2012-11-30,15105900,2014-08-31,83570,21
